1, 1, 高尾 美奈, たかお みな, 高尾 美奈, N, 依存, 癒やし, 自, 防UP, 小, 肉便器予備軍穴ホール, 探索, 4, 最初から, 2014-11-05, 20-1
645, 2255, 【チビ】帆釣ちゃん, ちび ほつれちゃん, 布巻 帆釣, HR, 狂気, 狡猾, 敵全, 攻DOWN, 中, [チビ]ドーピング着ぐるみ漬け, 特別報酬, 2, character1 購入特典, 2017-04-30, 20-646
646, 2257, 【チビ】希乃恋ちゃん, ちび きのれちゃん, 毒神 希乃恋, HR, 束縛, 狡猾, 自, 攻UP, 中, [チビ]君の熱いキノコをペロリ, 特別報酬, 2, character1 購入特典, 2017-04-30, 20-647
647, 2259, 【チビ】厄ちゃん , ちび やくちゃん, 張憑 厄, HR, 執着, 陰湿, 敵全, 防DOWN, 中, [チビ]バッドエンドをご提供, 特別報酬, 2, character1 購入特典, 2017-04-30, 20-648
648, 2261, ゲートオブピコハン, げーと おぶ ぴこはん, 仁科 香澄, HR, 狂気, 乱暴, 自, 攻UP, 中, 『香澄の愛の財宝』, ログイン報酬, 2, GW特別ログイン, 2017-05-06, 20-649
649, 2263, 志月 朔, しづき さく, 志月 朔, HR, 執着, 献身, 敵, 防DOWN, 中, 愛の為に乗り越えるべき障壁, バトル報酬, 4, 2017年05月バトルコンプ, 2017-05-01, 20-650
650, 2267, 【売人】売女, ばいにん ばいた, 売女, R, 無属, ドジ, 自, 防UP, 中, 売る側か、売られる側か, イベント, 4, 仁義散りゆく恋の華, 2017-05-25, 20-651
651, 2271, 【幹部】代名 真糸, かんぶ しろな まいと, 代名 真糸, R, 狂気, 腹黒, 全, 攻UP, 中, 爆発物密売キング, イベント, 4, 仁義散りゆく恋の華, 2017-05-25, 20-652
652, 2275, 舎弟とチンピラ, しゃていとちんぴら, N/A, R, 執着, 乱暴, 全, 狂乱, 小, 鉄砲玉とチンピラ、下々の戦い, イベント報酬, 1, 仁義散りゆく恋の華, 2017-06-05, 20-653
653, 2276, 桂 小鞠, かつら こまり, 桂 小鞠, HR, 執着, 凶暴, 自, 攻UP, 大, その女、凶暴につき, イベント, 4, 仁義散りゆく恋の華, 2017-05-25, 20-654
654, 2280, 【ヘッド】龍浪 杏子, へっど たつなみ あんず, 龍浪 杏子, HR, 束縛, ぷんぷん, 全, 防UP, 中, 純情！走死走愛！恋病乃風！, イベント, 4, 仁義散りゆく恋の華, 2017-05-25, 20-655
655, 2284, 臥納 桜花, がのう おうか, 臥納 桜花, HR, 狂気, 乱暴, 全, 狂乱, 大, 登り鯉、錦の様, ガチャ限定, 4, 仁義散りゆく恋の華, 2017-05-25, 20-656
656, 2288, 【チンピラ】能天気 空, ちんぴら のうてんき そら, 能天気 空, HR, 依存, バカ, 全, 攻UP, 大, そらはチンピラごぼうなんだぞー！, イベント報酬, 4, 仁義散りゆく恋の華, 2017-06-05, 20-657
657, 2292, 御募 朝夏, みつのり あさか, 御募 朝夏, HR, 執着, 狡猾, 自, 狡猾, 中, 君というイシューにフルコミット, バトル報酬, 4, 2017年06月バトルコンプ, 2017-06-05, 20-658
658, 2296, 酉鳥 実酉, とりどり みどり, 酉鳥 実酉, R, 狂気, バカ, 自, 攻UP, 中, 優雅なスワンクルーズ, イベント, 4, 桐皇学園ニッチグラブ～水上系グラブの場合～, 2017-06-08, 20-659
659, 2300, 鯉目 淡, こいめ あわ, 鯉目 淡, R, 狂気, すきんしっぱー, 自, 防UP, 中, すくいあげる不純物, イベント, 4, 桐皇学園ニッチグラブ～水上系グラブの場合～, 2017-06-08, 20-660
660, 2304, 当たる2人, あたるふたり, N/A, R, 束縛, 陰湿, 敵全, 攻DOWN, 中, 的中率100％の二人, イベント報酬, 1, 桐皇学園ニッチグラブ～水上系グラブの場合～, 2017-06-19, 20-661
661, 2305, 水上 燕, みなかみ つばめ, 水上 燕, HR, 依存, 元気, 敵全, 防DOWN, 大, 狙撃すべき大量の的, イベント, 4, 桐皇学園ニッチグラブ～水上系グラブの場合～, 2017-06-08, 20-662
662, 2309, 万陸 遥歩, まんりょう あゆむ, 万陸 遥歩, HR, 狂気, 清楚, 自, 防UP, 大, 水との対話。彼との対話, イベント, 4, 桐皇学園ニッチグラブ～水上系グラブの場合～, 2017-06-08, 20-663
663, 2313, 胡散 草蒼, うさん そうそう, 胡散 草蒼, HR, 執着, 腹黒, 自, 狂乱, 大, 彼とのフォーチュンサイクル, ガチャ限定, 4, 桐皇学園ニッチグラブ～水上系グラブの場合～, 2017-06-08, 20-664
664, 2317, 神木, かみき, 神忌 詩根, HR, 無属, 怪奇, 全, 狡猾, 中, 神木さんって知ってるかい？, イベント報酬, 4, 桐皇学園ニッチグラブ～水上系グラブの場合～, 2017-06-19, 20-665
665, 2321, 【浴衣】主羽 依夜, ゆかた ぬしはね いよ, 主羽 依夜, R, 執着, ツンデレ, 自, 攻UP, 中, 仕方なく彼を好きになる, イベント, 4, 雨もようでも恋びより, 2017-06-22, 20-666
666, 2325, 【制服】伝田 粘子, せいふく でんでん ねばこ, 伝田 粘子, R, 依存, すきんしっぱー, 敵全, 攻DOWN, 中, 滲む！滴る！愛のネバネバ！, イベント, 4, 雨もようでも恋びより, 2017-06-22, 20-667
667, 2329, 元気な奴ら, げんきなやつら, N/A, R, 狂気, 怪奇, 全, 狂乱, 小, 妖縁日の奇妙な縁, イベント報酬, 1, 雨もようでも恋びより, 2017-07-03, 20-668
668, 2330, 出雲 梅雨, いずも つゆ, 出雲 梅雨, HR, 執着, 清楚, 敵全, 防DOWN, 中, 雨のち晴れは虹になる, イベント, 4, 雨もようでも恋びより, 2017-06-22, 20-669
669, 2334, 【雨晒し】吊瀬 絞, あまざらし つるせ しまり, 吊瀬 絞, HR, 狂気, すきんしっぱー, 自, 狂乱, 大, 彼の為にぶら下がる, イベント, 4, 雨もようでも恋びより, 2017-06-22, 20-670
670, 2338, 【浴衣】叉多火 猫女, ゆかた またたび ねこめ, 叉多火 猫女, HR, 依存, 甘えん坊, 全, 防UP, 大, 金魚ハンターの猛攻, ガチャ限定, 4, 雨もようでも恋びより, 2017-06-22, 20-671
671, 2342, 芽野 音心, めの ねいろ, 芽野 音心, HR, 束縛, 甘えん坊, 自, 防UP, 中, 雨の中、待ちぼうけ, イベント報酬, 4, 雨もようでも恋びより, 2017-07-03, 20-672
672, 2346, 【ウェディング】希乃恋ちゃん, うぇでぃんぐ きのれちゃん, 毒神 希乃恋, HR, 束縛, 狡猾, 全, 狡猾, 大, 君へ捧ぐ愛の胞子, ガチャ限定, 4, 束縛女子限定3連ガチャ, 2017-06-19, 20-673
673, 2350, 【麻婆豆腐】主羽 依夜, まーぼーどうふ ぬしはね いよ, 主羽 依夜, R, 執着, ツンデレ, 敵全, 防DOWN, 小, 特製麻婆ツンデレ味, イベント, 4, 麻婆伝～その辛さ、炎の如く～, 2017-07-06, 20-675
674, 2354, 【麻婆豆腐】砂糖 甘夢, まーぼーどうふ さとう あむ, 砂糖 甘夢, R, 依存, 乱暴, 自, 防UP, 中, 激甘麻婆ラブ＆ピース, イベント, 4, 麻婆伝～その辛さ、炎の如く～, 2017-07-06, 20-676
675, 2358, 苛烈肉相対風景, かれつにくあいたいふうけい, N/A, R, 無属, 活発, 全, 攻UP, 小, ヤン老子の偉大な教え, イベント報酬, 1, 麻婆伝～その辛さ、炎の如く～, 2017-07-17, 20-677
676, 2359, 陳 麻子, ちん まあこ, 陳 麻子, HR, 依存, 抑圧ちゃん, 自, 攻UP, 中, プライド・オブ・エリートマーボァー, イベント, 4, 麻婆伝～その辛さ、炎の如く～, 2017-07-06, 20-678
677, 2363, 【麻婆豆腐】儚井 祈, まーぼーどうふ はかない いのり, 儚井 祈, HR, 依存, ぷんぷん, 敵全, 防DOWN, 大, 麻婆店長の苦悩, イベント, 4, 麻婆伝～その辛さ、炎の如く～, 2017-07-06, 20-679
678, 2367, 【麻婆豆腐】真子さん, まーぼーどうふ まこさん, 守石 真子, HR, 依存, ドジ, 全, 攻UP, 大, 私、真子さん。今、店内で迷ってるの, ガチャ限定, 4, 麻婆伝～その辛さ、炎の如く～, 2017-07-06, 20-680
679, 2371, 【麻婆豆腐】独転 しぱこ, まーぼーどうふ どってん しぱこ, 独転 しぱこ, HR, 執着, 甘えん坊, 敵全, 攻DOWN, 中, 麻婆豆腐、麻婆抜き, イベント報酬, 4, 麻婆伝～その辛さ、炎の如く～, 2017-07-17, 20-681
680, 2375, 一捻 千笑, ひとひねり ちえみ, 一捻 千笑, HR, 執着, 陰湿, 自, 防UP, 中, 二酸化炭素を無駄にしないで？, バトル報酬, 4, 2017年07月バトルコンプ, 2017-07-03, 20-682
681, 2379, 【水着】小坂 千代, みずぎ こさか ちよ, 小坂 千代, R, 執着, 清楚, 自, 攻UP, 中, デンジャラス・スイカ割り, イベント, 4, ヤミナツ～病水着コレクション2017～, 2017-07-20, 20-683
682, 2383, 【水着】胡散 草蒼, みずぎ うさん そうそう, 胡散 草蒼, R, 依存, 腹黒, 全, 狡猾, 小, 浜辺で的中、水着占い, イベント, 4, ヤミナツ～病水着コレクション2017～, 2017-07-20, 20-684
683, 2387, 追いかける群衆, おいかけるぐんしゅう, N/A, R, 狂気, 怪奇, 全, 狂乱, 中, 信仰心と救済の心, イベント報酬, 1, ヤミナツ～病水着コレクション2017～, 2017-07-31, 20-685
684, 2388, 【水着】緋色 果音, みずぎ ひいろ かのん, 緋色 果音, HR, 執着, 清楚, 敵, 防DOWN, 大, 美麗水着で彼を釘付け, イベント, 4, ヤミナツ～病水着コレクション2017～, 2017-07-20, 20-686
685, 2392, 【水着】不動院 雫加, みずぎ ふどういん しずか, 不動院 雫加, HR, 依存, バカ, 自, 防UP, 大, あなたに見せたいこの素肌, イベント, 4, ヤミナツ～病水着コレクション2017～, 2017-07-20, 20-687
686, 2396, 【水着】叉多火 猫女, みずぎ またたび ねこめ, 叉多火 猫女, HR, 執着, 元気, 全, 攻UP, 大, 必殺…メス、家まっしぐら！, ガチャ限定, 4, ヤミナツ～病水着コレクション2017～, 2017-07-20, 20-688
687, 2400, 【水着】河合 蒼乃, みずぎ かわい あおの, 河合 蒼乃, HR, 束縛, 清楚, 自, 防UP, 中, 叶えたかった海デート, イベント報酬, 4, ヤミナツ～病水着コレクション2017～, 2017-07-31, 20-689
688, 2404, 【ヤンデレ】みくらちゃん, やんでれ みくらちゃん, みくらちゃん, HR, 狂気, 淫乱, 全, 攻UP, 中, ステキなあなたのおっきなバナナ, イベント, 2, ホットパワーズ事前コラボ！ 社会見学～オナホが僕の股間を気持ちよくするまで～, 2017-10-11, 20-690
689, 2406, フェロモンパフューム, ふぇろもんぱふゅーむ, フェロモンパフューム, HR, 無属, 淫乱, 敵全, 防DOWN, 大, プシュ！シュ…シュパァアン！, 特別報酬, 2, 2017年冬コミケ購入特典, 2017-12-29, 20-691
690, 2408, 【水着】希 愛梨, みずぎ のぞみ あいり, 希 愛梨, HR, 執着, 活発, 自, 狂乱, 中, あなたの為のファンライブ！, バトル報酬, 4, 2017年08月バトルコンプ, 2017-08-02, 20-692
691, 2412, 【狂然】麻名部 唇, きょうぜん まなべ じゅん, 麻名部 唇, R, 狂気, 凶暴, 自, 狂乱, 中, 狂いの森の猟犬, イベント, 4, 精神病質～最終章：前編～, 2017-08-03, 20-693
692, 2416, 【成狂】否元 不慈美, なりぐるい いなもと ふじみ, 否元 不慈美, R, 束縛, 献身, 自, 防UP, 中, 望まれなかった救済の末路, イベント, 4, 精神病質～最終章：前編～, 2017-08-03, 20-694
693, 2420, 【悦音】廻渡 かげり, えつね みわたり かげり, 廻渡 かげり, HR, 執着, 活発, 敵, 防DOWN, 大, 悦喜する心音の略奪者, イベント, 4, 精神病質～最終章：前編～, 2017-08-03, 20-695
694, 2424, 【悦血】斑目 葵, えつけつ まだらめ あおい, 斑目 葵, HR, 狂気, 乱暴, 自, 狂乱, 大, 悦楽に耽る鮮血の収奪者, イベント, 4, 精神病質～最終章：前編～, 2017-08-03, 20-696
695, 2428, 【悦食】忌家 鈴音, えつじき いけ すずね, 忌家 鈴音, HR, 依存, 清楚, 全, 狡猾, 大, 法悦に浸る悪食の超越者, ガチャ限定, 4, 精神病質～最終章：前編～, 2017-08-03, 20-697
696, 2432, 甘えん坊、誉ちゃん, あまえんぼう ほまれちゃん, 狂衣 誉, HR, 狂気, 甘えん坊, 敵, 防DOWN, 中, むにゃむにゃ…かやねさま…, イベント報酬, 2, 精神病質～最終章：前編～, 2017-08-14, 20-698
697, 2434, 【じゃれ合い】葵・かげり, じゃれあい あおい かげり, N/A, HR, 束縛, すきんしっぱー, 敵全, 攻DOWN, 中, 葵ちゃんとかげりちゃんの日常, イベント報酬, 2, 精神病質～最終章：前編～, 2017-08-14, 20-699
698, 2436, 【制服】仁科 明澄, せいふく にしな あすみ, 仁科 明澄(豈石 明澄), R, 束縛, 献身, 自, 防UP, 中, 明澄ちゃんの学園ライフ, イベント, 4, 精神病質～最終章：後編～, 2017-08-17, 20-700
699, 2440, 【制服】仁科 唆澄, せいふく にしな さすみ, 仁科 唆澄(豈石 唆澄), R, 執着, 抑圧ちゃん, 自, 攻UP, 中, 唆澄ちゃんの抑圧ライフ, イベント, 4, 精神病質～最終章：後編～, 2017-08-17, 20-701
700, 2444, 【待人】仁科 香澄, まちびと にしな かすみ, 仁科 香澄, HR, 依存, 癒やし, 自, 防UP, 大, 帰ってくると、信じてる, イベント, 4, 精神病質～最終章：後編～, 2017-08-17, 20-702
701, 2448, 【頼人】桐皇 亞沙樹, よりびと とうおう あさき, 桐皇 亞沙樹, HR, 狂気, 逆襲, 全, 攻UP, 大, 悔やんだのは、あの日の自分, イベント, 4, 精神病質～最終章：後編～, 2017-08-17, 20-703
702, 2452, 狂衣 燐, くるい りん, 狂衣 燐, HR, 狂気, 凶暴, 自, 狂乱, 大, もっと中身を見てみたい, ガチャ限定, 4, 精神病質～最終章：後編～, 2017-08-17, 20-704
703, 2456, 神忌 詩根, かみき うたね, 神忌 詩根, HR, 無属, 怪奇, 自, 狡猾, 中, 面白くなる『微調整』, イベント報酬, 4, 精神病質～最終章：後編～, 2017-08-28, 20-705
704, 2460, 【尋常】忌家 鈴音, じんじょう いけ すずね, 忌家 鈴音, HR, 無属, 清楚, 敵全, 攻DOWN, 中, 思慕と悔恨の間で, イベント報酬, 2, 精神病質～最終章：後編～, 2017-08-28, 20-706
705, 2462, 【都市伝説】香澄ちゃん, としでんせつ かすみちゃん, 仁科 香澄, HR, 狂気, 乱暴, 自, 狂乱, 大, ねぇ？私って…彼の嫁？, ガチャ限定, 4, 狂気女子限定3連ガチャ, 2017-07-17, 20-707
706, 2466, 【成金】罠保 香美, なりきん わなやす こうみ, 罠保 香美, HR, 依存, 腹黒, 自, 防UP, 中, にじコインのバラ撒き方, バトル報酬, 4, 2017年09月バトルコンプ, 2017-09-02, 20-708
707, 2470, 尻手 ほじる, しって ほじる, 尻手 ほじる, R, 執着, 抑圧ちゃん, 敵, 防DOWN, 中, 開発したいあなたのお尻, イベント, 4, 診療の時間, 2017-08-31, 20-709
708, 2474, ナース＆ナース, なーす あんど なーす, N/A, R, 束縛, ドジ, 敵全, 攻DOWN, 小, エロナースによる『夜の看護』, イベント報酬, 1, 診療の時間, 2017-09-11, 20-710
709, 2475, 貫地 汐里, ぬきち しおり, 貫地 汐里, HR, 狂気, 変態, 敵, 防DOWN, 大, 邪魔な虫歯をゴリゴリ削る, イベント, 4, 診療の時間, 2017-08-31, 20-711
710, 2479, 【風邪】駄楽々 あくび, かぜ だらら あくび, 駄楽々 あくび, HR, 依存, 甘えん坊, 敵, 攻DOWN, 大, 幻覚チンチンが見えるッス…！, ガチャ限定, 4, 診療の時間, 2017-08-31, 20-712
711, 2483, 【ナース】乳川 白子, なーす ちちかわ しろこ, 乳川 白子, HR, 束縛, 癒やし, 自, 防UP, 中, 愛で漏れ出るミルクde看護, イベント報酬, 4, 診療の時間, 2017-09-11, 20-713
712, 2487, 【水着】禍野 瘴子, みずぎ まがの しょうこ, 禍野 瘴子, HR, 執着, ぷんぷん, 自, 狂乱, 大, 思い出は今も色褪せないままに, ガチャ限定, 4, 執着女子限定3連ガチャ, 2017-08-28, 20-714
713, 2491, 【監禁】逢形 紬, かんきん あがた つむぎ, 逢形 紬, R, 束縛, 献身, 自, 防UP, 中, ご主人様からの罰(ごほうび), イベント, 4, 二人を繋ぐ糸, 2017-09-14, 20-715
714, 2495, 欧分 季衣, おうぷん きい, 欧分 季衣, R, 執着, 元気, 全, 攻UP, 小, 鍵と錠の恋愛学, イベント, 4, 二人を繋ぐ糸, 2017-09-14, 20-716
715, 2499, 囚われに来た2人, とらわれにきたふたり, N/A, R, 狂気, 献身, 全, 狂乱, 小, 縛られし者たちの暗闘, イベント報酬, 1, 二人を繋ぐ糸, 2017-09-25, 20-717
716, 2500, 六区 苛恋, ろっく かこい, 六区 苛恋, HR, 束縛, 清楚, 自, 狡猾, 大, 本来あるべき生活, イベント, 4, 二人を繋ぐ糸, 2017-09-14, 20-718
717, 2504, 【監禁】真子さん, かんきん まこさん, 守石 真子, HR, 執着, ドジ, 敵全, 防DOWN, 大, お漏らし真子さん, ガチャ限定, 4, 二人を繋ぐ糸, 2017-09-14, 20-719
718, 2508, 【監禁】吊原 ひなこ, かんきん つるしはら ひなこ, 吊原 ひなこ, HR, 束縛, 清楚, 自, 防UP, 中, 私は幸福、あなたの人形, イベント報酬, 4, 二人を繋ぐ糸, 2017-09-25, 20-720
719, 2512, 【チビ】綴ちゃん, ちび つづりちゃん, 書々 綴, HR, 依存, 癒やし, 自, 防UP, 中, [チビ]伝わらない想い、伝えたい愛情, 特別報酬, 2, グッズ受注生産の特典のコードを入力, 2017-08-30, 20-721
720, 2514, 【チビ】好愛ちゃん, ちび よしめちゃん, 双生 好愛, HR, 束縛, 癒やし, 全, 狡猾, 中, [チビ]好愛も一緒に愛して？, 特別報酬, 2, グッズ受注生産の特典のコードを入力, 2017-08-30, 20-727
721, 2516, 【チビ】好魅ちゃん, ちび よしみちゃん, 双生 好魅, HR, 執着, すきんしっぱー, 自, 狂乱, 中, [チビ]好魅のお姉さま強襲, 特別報酬, 2, グッズ受注生産の特典のコードを入力, 2017-08-30, 20-728
722, 2518, 五瞬 グレイソン, ごしゅん ぐれいそん, 五瞬 グレイソン, R, 執着, バカ, 自, 攻UP, 中, 突いて、突かれて、ペニシング, イベント, 4, 欲しかったのはあなたとの刻, 2017-09-28, 20-729
723, 2522, 藤奏 灯, ふじそう あかり, 藤奏 灯, R, 依存, 清楚, 自, 防UP, 中, あなたと紡ぐハーモニー, イベント, 4, 欲しかったのはあなたとの刻, 2017-09-28, 20-730
724, 2526, 布巻づくし, ぬのまきづくし, 布巻 帆釣, R, 狂気, 狡猾, 全, 狂乱, 小, にしし～♪にしし～♪にしし～♪にしし～♪, イベント報酬, 1, 欲しかったのはあなたとの刻, 2017-10-09, 20-731
725, 2527, 【バニー】多根灯 円, ばにー たねあかり まどか, 多根灯 円, HR, 束縛, ツンデレ, 自, 攻UP, 大, あなたの心にイリュージョン, イベント, 4, 欲しかったのはあなたとの刻, 2017-09-28, 20-732
726, 2531, 【縋る】天野 息吹, すがる あまの いぶき, 天野 息吹, HR, 依存, 淫乱, 敵全, 攻DOWN, 中, 身体に食い込むあなたの噛み跡, イベント, 4, 欲しかったのはあなたとの刻, 2017-09-28, 20-733
727, 2535, 【違堕】深策 計, たがいおち ふかさく けい, 深策 計, HR, 執着, 逆襲, 敵, 防DOWN, 大, 正気に戻してあげたくて, ガチャ限定, 4, 欲しかったのはあなたとの刻, 2017-09-28, 20-734
728, 2539, 【純粋】布巻 帆釣, じゅんすい ぬのまき ほつれ, 布巻 帆釣, HR, 依存, 癒やし, 自, 防UP, 大, 無くしても君が好き, イベント報酬, 4, 欲しかったのはあなたとの刻, 2017-10-09, 20-735
729, 2543, 捲利 万久里, めくり まくり, 捲利 万久里, HR, 依存, 変態, 敵全, 攻DOWN, 大, プリーズ！エロ漫画みたいに, ガチャ限定, 4, 依存女子限定3連ガチャ, 2017-09-25, 20-736
730, 2547, 胸乃内 里里, むねのうち さとり, 胸乃内 里里, HR, 執着, ツンデレ, 敵, 防DOWN, 中, しあわせテレパシー, バトル報酬, 4, 2017年10月バトルコンプ, 2017-10-02, 20-737
731, 2551, 【海賊コス】御庭 荵, かいぞくこす ごてい しのぶ, 御庭 荵, R, 束縛, ドジ, 自, 防UP, 中, 世はまさに、大忍者海賊時代！, イベント, 4, 矢井出ハロウィン祭り～あなたをくれなきゃ豹変するぞ～, 2017-10-12, 20-739
732, 2555, 甘樫 まろん, あまかし まろん, 甘樫 まろん, R, 狂気, 甘えん坊, 自, 狂乱, 中, 食べて・好かれて・幸せスィーツ, イベント, 4, 矢井出ハロウィン祭り～あなたをくれなきゃ豹変するぞ～, 2017-10-12, 20-740
733, 2559, パイレーツオブあぶないヤン, ぱいれーつ おぶ あぶないやん, N/A, R, 束縛, ドジ, 全, 狡猾, 小, ひとつなぎの病女子(ヤンピース), イベント報酬, 1, 矢井出ハロウィン祭り～あなたをくれなきゃ豹変するぞ～, 2017-10-23, 20-741
734, 2560, 大守 ぴぴこ, おおもり ぴぴこ, 大守 ぴぴこ, HR, 狂気, 乱暴, 自, 狂乱, 大, 特別なハロウィンナイト, イベント, 4, 矢井出ハロウィン祭り～あなたをくれなきゃ豹変するぞ～, 2017-10-12, 20-742
735, 2564, 人見 知里, ひとみ ちさと, 人見 知里, HR, 依存, 抑圧ちゃん, 自, 防UP, 大, 大胆衣装でハロウィンパーティ♪, イベント, 4, 矢井出ハロウィン祭り～あなたをくれなきゃ豹変するぞ～, 2017-10-12, 20-743
736, 2568, 【カボチャ】独転 しぱこ, かぼちゃ どってん しぱこ, 独転 しぱこ, HR, 束縛, 甘えん坊, 敵全, 攻DOWN, 大, お菓子やめますか？人間やめますか？, ガチャ限定, 4, 矢井出ハロウィン祭り～あなたをくれなきゃ豹変するぞ～, 2017-10-12, 20-744
737, 2572, 【ナースゾンビ】姫路 時子, なーすぞんび ひめじ ときこ, 姫路 時子, HR, 執着, 活発, 自, 攻UP, 大, 走れ！ゾンビナース！, イベント報酬, 4, 矢井出ハロウィン祭り～あなたをくれなきゃ豹変するぞ～, 2017-10-23, 20-745
738, 2576, 帳 藤花, とばり とうか, 帳 藤花, R, 執着, 抑圧ちゃん, 自, 攻UP, 中, 愛しき命の回収者, イベント, 4, 矢井出ハロウィン祭り～月夜のラビリンス～, 2017-10-26, 20-746
739, 2580, 猫屋敷 モモ, ねこやしき もも, 猫屋敷 モモ, R, 束縛, すきんしっぱー, 自, 防UP, 中, お股の猫屋敷へご招待, イベント, 4, 矢井出ハロウィン祭り～月夜のラビリンス～, 2017-10-26, 20-747
740, 2584, 猫と猫, ねことねこ, N/A, R, 束縛, 甘えん坊, 全, 狂乱, 小, 発情期のメス猫たち, イベント報酬, 1, 矢井出ハロウィン祭り～月夜のラビリンス～, 2017-11-06, 20-748
741, 2585, 棺木 冥, ひつぎ めい, 棺木 冥, HR, 執着, 怪奇, 自, 攻UP, 大, 目覚めし棺姫, イベント, 4, 矢井出ハロウィン祭り～月夜のラビリンス～, 2017-10-26, 20-749
742, 2589, 【ファラオ】早川 光, ふぁらお はやかわ ひかり, 早川 光, HR, 束縛, ツンデレ, 自, 防UP, 大, 風紀委員(ファラオ)の威光, イベント, 4, 矢井出ハロウィン祭り～月夜のラビリンス～, 2017-10-26, 20-750
743, 2593, 【魔女ッ娘】林堂 京子, まじょっこ りんどう きょうこ, 林堂 京子, HR, 狂気, 抑圧ちゃん, 全, 攻UP, 大, 幸せ未来プロジェクト, ガチャ限定, 4, 矢井出ハロウィン祭り～月夜のラビリンス～, 2017-10-26, 20-751
744, 2597, 【堕天使コス】潤々福音, だてんしこす じゅんじゅん ふくね, 潤々 福音, HR, 依存, ドジ, 敵全, 攻DOWN, 大, 堕ッピー光線, イベント報酬, 4, 矢井出ハロウィン祭り～月夜のラビリンス～, 2017-11-06, 20-752
745, 2601, 【制服】仁科 香澄, せいふく にしな かすみ, 仁科 香澄, R, 狂気, 凶暴, 自, 狂乱, 中, あなたに病んだ愛情を, 特別報酬, 4, チュートリアル, 2017-10-25, 20-753
746, 2605, 【私服】熱井 印, しふく あつい しるし, 熱井 印, HR, 束縛, 清楚, 敵, 攻DOWN, 中, 赤熱する愛のスティグマ, バトル報酬, 4, 2017年11月バトル報酬, 2017-11-06, 20-754
747, 2609, 【バニーメイド】悪い虫 , ばにーめいど わるいむし, 悪い虫, HR, 無属, 狡猾, 自, 狂乱, 大, 餌付け待ちのエロバニー, ガチャ限定, 4, ３周年記念ガチャ, 2017-11-09, 20-755
748, 2613, 【童貞狩】悪い虫 , どうていがり わるいむし, 悪い虫, HR, 無属, 活発, 敵全, 防DOWN, 大, 童貞を狩る近所の悪い虫, ガチャ限定, 4, ヤンデレモードガチャ・怒りガチャ, 2017-11-06, 20-756
749, 2617, 【童貞喰】悪い虫 , どうていぐい わるいむし, 悪い虫, HR, 無属, 活発, 敵全, 防DOWN, 大, 童貞を喰う近所の悪い虫, 特別報酬, 4, イベント1位報酬, 2017-11-06, 20-757
750, 2621, 【日常】鈴音ちゃん , にちじょう すずねちゃん, 忌家 鈴音, HR, 依存, 癒やし, 全, 狂乱, 大, ポンコツなんて言わせない, ガチャ限定, 2, 臨床データガチャ, 2017-11-06, 20-758
751, 2623, 【主婦】仁科 香澄 , しゅふ にしな かすみ, 仁科 香澄, R, 束縛, すきんしっぱー, 自, 防UP, 中, ご飯にする？お風呂にする？それとも…, ガチャ限定, 4, ３周年記念ガチャ, 2017-11-06, 20-759
752, 2627, 【未来に向けて】龍浪 杏子 , みらいにむけて たつなみ あんず, 龍浪 杏子, HR, 束縛, 献身, 自, 防UP, 大, オレの誓い、お前の未来, ガチャ限定, 4, ３周年記念ガチャ, 2017-11-06, 20-760
753, 2631, 【ホッパ】能天気 空, ほっぱ のうてんき そら, 能天気 空, R, 依存, バカ, 敵全, 攻DOWN, 小, ソラのオナンホ攻撃, イベント, 4, 救世主とはエロいことをしても許される存在である～エムズ＆ホッパコラボ～, 2017-11-09, 20-761
754, 2635, ガチ濡れJS・奈帆流, がちぬれじぇいえす・なほる, ガチ濡れJS・奈帆流, R, 狂気, 狡猾, 敵, 防DOWN, 中, 気持ち良いは正義, イベント, 4, 救世主とはエロいことをしても許される存在である～エムズ＆ホッパコラボ～, 2017-11-09, 20-762
755, 2639, 【DM】みくらちゃん, だいれくとまーけてぃんぐ みくらちゃん, みくらちゃん, R, 狂気, 元気, 全, 狂乱, 小, エムズとホッパに惜しみない愛(宣伝)を, イベント報酬, 1, 救世主とはエロいことをしても許される存在である～エムズ＆ホッパコラボ～, 2017-11-20, 20-763
756, 2640, 【エムズ】柏木 縁, えむず かしわぎ ゆかり, 柏木 縁, HR, 狂気, 抑圧ちゃん, 自, 攻UP, 大, ユカーリ★オーガブラック, イベント, 4, 救世主とはエロいことをしても許される存在である～エムズ＆ホッパコラボ～, 2017-11-09, 20-764
757, 2644, 【ホッパ】内海 遥, ほっぱ うつみ はるか, 内海 遥, HR, 狂気, 陰湿, 自, 狂乱, 大, お薬オナホトリップ, イベント, 4, 救世主とはエロいことをしても許される存在である～エムズ＆ホッパコラボ～, 2017-11-09, 20-765
758, 2648, 【エムズ】早川 光, えむず はやかわ ひかり, 早川 光, HR, 束縛, 抑圧ちゃん, 全, 防UP, 大, 許可なき自慰行為禁止令, ガチャ限定, 4, 救世主とはエロいことをしても許される存在である～エムズ＆ホッパコラボ～, 2017-11-09, 20-766
